Id_Customer;Y;Customer_Type;BirthDate;Customer_Open_Date;P_Client;Educational_Level;Marital_Status;Number_Of_Dependant;Years_At_Residence;Net_Annual_Income;Years_At_Business;Prod_Sub_Category;Prod_Decision_Date;Source;Type_Of_Residence;Nb_Of_Products;Prod_Closed_Date;Prod_Category;;;
6714;0;Non Existing Client;02/09/1971;18/01/2012;NP_Client;University;Married;3;10;36;3;C;23/01/2012;Sales;Owned;1;;B;;;
6092;1;Existing Client;29/10/1988;07/11/2010;P_Client;University;Single;0;1;59,916;1;C;04/01/2012;Branch;Owned;1;28/06/2012;H;;;
6945;0;Existing Client;03/04/1968;20/06/2006;P_Client;University;Married;0;10;40;10;G;23/02/2012;Branch;Owned;1;24/02/2013;B;;;
8556;0;Non Existing Client;11/08/1976;19/03/2012;NP_Client;University;Married;2;10;36;3;C;20/03/2012;Sales;Owned;1;;B;;;
642;0;Existing Client;25/09/1957;07/09/2010;NP_Client;University;Married;3;25;20;1;C;21/06/2011;Sales;Owned;1;;B;;;
6798;0;Non Existing Client;03/10/1973;22/01/2012;NP_Client;University;Married;2;10;36;1;C;24/01/2012;Sales;Owned;1;;B;;;
7060;0;Existing Client;01/03/1966;26/05/2010;NP_Client;University;Married;0;10;36;3;C;09/02/2012;Sales;Owned;1;;B;;;
1948;0;Existing Client;05/03/1964;24/03/2009;NP_Client;Master/PhD;Married;0;9;50;10;G;16/08/2011;Sales;Owned;1;;C;;;
8089;1;Existing Client;01/11/1987;21/02/2012;NP_Client;University;Married;1;26;61,2;2;C;15/03/2012;Sales;Owned;1;31/10/2012;L;;;
8852;0;Existing Client;08/07/1979;21/06/2007;NP_Client;Diploma;Married;2;32;20,628;5;C;18/04/2012;Branch;Owned;1;;G;;;
4332;1;Non Existing Client;10/06/1979;16/10/2011;NP_Client;University;Married;2;2;18;2;G;23/10/2011;Sales;Owned;1;30/09/2012;C;;;
5046;0;Non Existing Client;27/03/1989;23/11/2011;NP_Client;University;Single;0;10;36;10;C;29/11/2011;Sales;Owned;1;;B;;;
